,RG,U-Net,Metric
28838683 - left,0.962,0.927,Dice
28838683 - left,0.927,0.863,Jac
28838683 - left,0.945,0.945,TPr
28838683 - left,0.982,0.981,VS
28838683 - right,0.966,0.945,Dice
28838683 - right,0.934,0.896,Jac
28838683 - right,0.949,0.966,TPr
28838683 - right,0.982,0.978,VS
31022832 - left,0.002,0.906,Dice
31022832 - left,0.001,0.828,Jac
31022832 - left,0.006,0.922,TPr
31022832 - left,0.261,0.983,VS
31022832 - right,0.954,0.934,Dice
31022832 - right,0.913,0.876,Jac
31022832 - right,0.927,0.944,TPr
31022832 - right,0.97,0.989,VS
36778909 - left,0.968,0.92,Dice
36778909 - left,0.938,0.851,Jac
36778909 - left,0.963,0.933,TPr
36778909 - left,0.995,0.986,VS
36778909 - right,0.969,0.929,Dice
36778909 - right,0.94,0.867,Jac
36778909 - right,0.96,0.948,TPr
36778909 - right,0.991,0.98,VS
37017626 - left,0.924,0.927,Dice
37017626 - left,0.858,0.865,Jac
37017626 - left,0.874,0.958,TPr
37017626 - left,0.944,0.968,VS
37017626 - right,0.957,0.948,Dice
37017626 - right,0.917,0.9,Jac
37017626 - right,0.929,0.975,TPr
37017626 - right,0.97,0.972,VS
37173796 - left,0.964,0.944,Dice
37173796 - left,0.93,0.894,Jac
37173796 - left,0.934,0.962,TPr
37173796 - left,0.968,0.981,VS
37173796 - right,0.965,0.95,Dice
37173796 - right,0.932,0.905,Jac
37173796 - right,0.94,0.968,TPr
37173796 - right,0.973,0.982,VS
37881605 - left,0.941,0.947,Dice
37881605 - left,0.889,0.9,Jac
37881605 - left,0.893,0.936,TPr
37881605 - left,0.946,0.988,VS
37881605 - right,0.948,0.956,Dice
37881605 - right,0.902,0.915,Jac
37881605 - right,0.911,0.955,TPr
37881605 - right,0.959,0.999,VS
38133514 - left,0.961,0.939,Dice
38133514 - left,0.925,0.886,Jac
38133514 - left,0.95,0.969,TPr
38133514 - left,0.988,0.969,VS
38133514 - right,0.959,0.946,Dice
38133514 - right,0.921,0.897,Jac
38133514 - right,0.959,0.979,TPr
38133514 - right,1.0,0.966,VS
39002828 - left,0.924,0.923,Dice
39002828 - left,0.86,0.856,Jac
39002828 - left,0.916,0.936,TPr
39002828 - left,0.991,0.986,VS
39002828 - right,0.873,0.942,Dice
39002828 - right,0.775,0.89,Jac
39002828 - right,0.808,0.965,TPr
39002828 - right,0.919,0.976,VS
39256095 - left,0.96,0.944,Dice
39256095 - left,0.923,0.893,Jac
39256095 - left,0.928,0.958,TPr
39256095 - left,0.965,0.985,VS
39256095 - right,0.002,0.955,Dice
39256095 - right,0.001,0.915,Jac
39256095 - right,0.003,0.975,TPr
39256095 - right,0.794,0.98,VS
40433190 - left,0.865,0.903,Dice
40433190 - left,0.762,0.824,Jac
40433190 - left,0.84,0.933,TPr
40433190 - left,0.97,0.968,VS
40433190 - right,0.701,0.926,Dice
40433190 - right,0.54,0.863,Jac
40433190 - right,0.595,0.942,TPr
40433190 - right,0.821,0.983,VS
47262863 - left,0.958,0.938,Dice
47262863 - left,0.919,0.884,Jac
47262863 - left,0.924,0.962,TPr
47262863 - left,0.964,0.975,VS
47262863 - right,0.961,0.951,Dice
47262863 - right,0.924,0.907,Jac
47262863 - right,0.932,0.977,TPr
47262863 - right,0.969,0.974,VS
47295940 - left,0.939,0.944,Dice
47295940 - left,0.886,0.895,Jac
47295940 - left,0.891,0.933,TPr
47295940 - left,0.946,0.988,VS
47295940 - right,0.941,0.95,Dice
47295940 - right,0.889,0.905,Jac
47295940 - right,0.907,0.947,TPr
47295940 - right,0.962,0.997,VS
48389421 - left,0.959,0.944,Dice
48389421 - left,0.921,0.894,Jac
48389421 - left,0.927,0.96,TPr
48389421 - left,0.966,0.984,VS
48389421 - right,0.96,0.948,Dice
48389421 - right,0.922,0.901,Jac
48389421 - right,0.93,0.967,TPr
48389421 - right,0.968,0.98,VS
49950151 - left,0.964,0.935,Dice
49950151 - left,0.93,0.878,Jac
49950151 - left,0.947,0.948,TPr
49950151 - left,0.982,0.986,VS
49950151 - right,0.97,0.947,Dice
49950151 - right,0.942,0.899,Jac
49950151 - right,0.955,0.967,TPr
49950151 - right,0.984,0.979,VS
